"dates","title"
2021-10-18,"Bayern-Verfolger gibt es nicht"
2021-10-18,"RKI registriert fast 1.000 Positivtests mehr als eine Woche zuvor"
2021-10-17,"FC Bayern deklassiert Leverkusen"
2021-10-15,"Leverkusen ist eher vor dem Tor, als Habeck Klimaschutz sagen kann"
2021-10-14,"Bayern-Profi Lucas Hernández droht Haftstrafe in Spanien"
2021-10-12,"Katar, wir kommen!"
2021-10-06,"Union Berlin ermittelt nach Antisemitismusvorfällen mutmaßlichen Täter"
2021-10-04,"Immer nett, wenn Bayern verliert"
2021-10-03,"Leverkusen siegt souverän gegen Bielefeld"
2021-10-01,"Langsam fühlt es sich wieder nach Fußball an"
2021-09-30,"Union Berlin gewinnt gegen Maccabi Haifa"
2021-09-30,"Leverkusen nach Sieg gegen Celtic Glasgow Erster"
2021-09-30,"FC Bayern München gewinnt gegen Dynamo Kiew"
2021-09-29,"Ein Tor für den Louvre"
2021-09-27,"Ein 18-Jähriger schießt das schönste Tor"
2021-09-26,"Freiburg gewinnt deutlich gegen Augsburg"
2021-09-24,"Nie war Goliat größer und David kleiner"
2021-09-20,"Konferenz der Langeweile"
2021-09-19,"Wolfsburg verliert die Tabellenführung"
2021-09-17,"Eine schwäbische Lovestory endet"
2021-09-16,"Union Berlin verliert in Prag"
2021-09-16,"Atom-U-Boote, Hungerstreik fürs Klima, Weltraumflug"
2021-09-16,"Brügge sehen und stolpern"
2021-09-15,"Mitleid mit Barça"
2021-09-14,"RB Leipzig verliert Auftaktspiel gegen Manchester City"
2021-09-13,"Die CDU mag die Wahl verlieren, der FC Bayern bleibt stabil"
2021-09-12,"Mönchengladbach gewinnt gegen Bielefeld"
2021-09-10,"Leipzig hat keine Lust auf Klassenkampf"
2021-09-08,"Deutschland gewinnt gegen Island"
2021-09-06,"Hansi Flick und der Wind der Erneuerung"
2021-09-05,"Nationalelf gewinnt deutlich gegen Armenien"
2021-08-30,"Ronaldo, der Peter Pan des Fußballs"
2021-08-28,"VfL Wolfsburg verteidigt Tabellenführung"
2021-08-27,"Karre gegen Plörre"
2021-08-23,"Wilde Bayern"
2021-08-22,"Alles auf Angriff"
2021-08-21,"Bayern gewinnt 3:2 gegen Köln "
2021-08-20,"Eine Schiebermütze gegen die Bayern"
2021-08-16,"VfL Wolfsburg scheidet wegen Wechselfehler nach erster Pokalrunde aus"
2021-08-16,"Die Bolzplatzattitüde des BVB"
2021-08-15,"Es müllert nicht mehr"
2021-08-16,"""Servus, Gerd"""
2021-08-14,"Köln startet mit Heimsieg gegen Hertha BSC"
2021-08-13,"Von der Elbe bis zur Isar, immer wieder Moderna"
2021-08-12,"Kapitän Gensheimer verlässt das Handball-Nationalteam"
2021-07-25,"Robert Lewandowski ist erneut Fußballer des Jahres"
2021-07-23,"HSV gewinnt gegen Schalke"
2021-07-23,"Die attraktivste Zweite Liga aller Zeiten"
2021-07-22,"Razzien und Festnahmen in Sachsen wegen Krawallen bei Dynamo-Spiel"
2021-07-16,"Der Anfänger"
2021-07-12,"Tausende feiern italienische Nationalmannschaft in Rom"
2021-07-07,"""Mit Enrique kann es eigentlich nur gut gehen"""
2021-07-06,"""Wahrscheinlich zeigt das, dass Fußball simpler ist, als wir glauben"""
2021-07-05,"""Mein Sohn hat den Schiedsrichter angeschrien"""
2021-07-02,"""Alle erwarten, dass sie es diesmal schaffen"""
2021-07-01,"""Alles, was wir uns erhofft hatten, ist schon in Erfüllung gegangen"""
2021-06-29,"Der langweiligste Topfavorit des Turniers"
2021-06-29,"""Kommt schon, wir nehmen uns doch selbst nicht so ernst"""
2021-06-28,"""Solange Luka Modrić nicht zurücktritt, gibt es keinen Neustart"""
2021-06-28,"Upsi!"
2021-06-27,"THW Kiel gewinnt Deutsche Meisterschaft"
2021-06-27,"""Die Idee in den Medien ist: Russland gegen den Rest der Welt"""
2021-06-27,"Das ist keine Mannschaft"
2021-06-25,"""Nichts erwartet – und richtig enttäuscht"""
2021-06-24,"Gegen diese Farben war die Uefa chancenlos"
2021-06-24,"Ein peinliches Happy End"
2021-06-24,"Voller Rosenpolenstolz"
2021-06-23,"Deutschland zittert sich gegen Ungarn ins Achtelfinale"
2021-06-23,"Nur ein Martin Dúbravka kann Martin Dúbravka schlagen"
2021-06-23,"""Schweinsteiger hat mein Müsli inhaliert"""
2021-06-23,"Bundestagsvizepräsidentin Roth sieht Glaubwürdigkeit der Uefa verloren"
2021-06-23,"Unterschätzt nur weiter alle die Tschechen! "
2021-06-23,"Doch noch mal Modrić Magic"
2021-06-22,"""Die Leute halten es für verrückt, für die EM durch Europa zu reisen"""
2021-06-22,"Ein Spiel wie eine Schrankwand"
2021-06-22,"Die spirituell entflammte Spielergemeinschaft"
2021-06-22,"Das Sterben jeglicher Hoffnung"
2021-06-21,"Dänemark nach Sieg über Russland im Achtelfinale"
2021-06-22,"Wo bleibt ""Goran Pandev – ALL SKILLS AND GOALS 2007""?  "
2021-06-21,"Uefa verbietet offenbar Regenbogenfarben an EM-Stadion in München"
2021-06-21,"""Es wird etwas Gutes daraus hervorgehen"""
2021-06-20,"Italien holt sich den Gruppensieg"
2021-06-20,"""Gerade denkt niemand an das Abkommen mit Griechenland"""
2021-06-20,"Das Comeback"
2021-06-19,"""Ronaldo möchte nicht, dass seine Kinder Cola trinken"""
2021-06-18,"Da mussten wir alle durch"
2021-06-18,"Schweden gewinnt gegen die Slowakei"
2021-06-17,"Niederlande gewinnen gegen Österreich"
2021-06-17,"Ukraine gewinnt im zweiten Spiel gegen Nordmazedonien"
2021-06-17,"""Irgendwie kriechen sie immer in die nächste Runde"""
2021-06-17,"Ein Pokalsieger wird abgewickelt"
2021-06-16,"Russland gewinnt gegen Finnland"
2021-06-16,"""Jetzt haben sie sich noch einen Friseur einfliegen lassen"""
2021-06-16,"Perdu"
2021-06-16,"Am Ende siegt Talent gegen Leidenschaft"
2021-06-15,"Deutschland verliert 0:1 gegen Frankreich"
2021-06-15,"Was soll das Gesinge, Gegröle, Geklatsche?"
2021-06-15,"""Das könnte die stärkste Gruppe der EM-Geschichte sein"""
2021-06-15,"Uefa ermittelt nach Torjubel gegen Marko Arnautović"
2021-06-14,"Gott hat Knie"
2021-06-14,"Marko Arnautović weist Rassismus-Vorwurf zurück"
2021-06-14,"""Jeder Tscheche wird heute vor dem Fernseher sitzen"""
2021-06-14,"Die oranje Revolution"
2021-06-14,"Goran, der Grillmeister"
2021-06-13,"""Für einen österreichischen Fußballer ist das unfassbar"""
2021-06-13,"Jung gegen Alt"
2021-06-13,"Es gab auch Gutes im russischen Spiel"
2021-06-12,"Schweiz spielt unentschieden gegen Wales"
2021-06-12,"""Es gibt einen Riesenboom in Finnland"""
2021-06-11,"""Es freuen sich einfach alle auf den Fußball"""
2021-06-06,"FC Bayern ist Deutsche Fußballmeisterin"
2021-06-02,"Mark van Bommel wird neuer Trainer des VfL Wolfsburg"
2021-06-01,"Markus Anfang wird neuer Trainer von Werder Bremen"
2021-05-30,"Wolfsburg schlägt Frankfurt und holt den DFB-Pokal"
2021-05-30,"Der Sieg der Umschaltfußballer"
2021-05-29,"1. FC Köln bleibt in der Fußballbundesliga"
2021-05-27,"Zinédine Zidane verlässt Real Madrid"
2021-05-25,"Ein 117 Millionen Euro teures Missverständnis"
2021-05-25,"Hansi Flick wird neuer Bundestrainer"
2021-05-24,"Werder hat es nicht geschaaft"
2021-05-23,"VfL Bochum und Greuther Fürth steigen in die 1. Liga auf "
2021-05-22,"Die Stille nach dem Abstieg "
2021-05-22,"Werder Bremen steigt ab, Union Berlin spielt europäisch"
2021-05-21,"Wie eine Vierfachimpfung in drei Sekunden "
2021-05-24,"Militär, Mordkommission, Undercover und dann Bremen "
2021-05-17,"185 verletzte Polizisten nach Ausschreitungen in Dresden"
2021-05-17,"Werder Bremen ist also doch nur ein ganz normaler Verein"
2021-05-16,"RB Leipzig wird vorzeitig Vizemeister"
2021-05-16,"Bochum und Kiel verpassen sicheren Aufstieg in die Bundesliga"
2021-05-16,"Werder Bremen entlässt Trainer Florian Kohfeldt"
2021-05-15,"Ein Fan als Trainer"
2021-05-13,"Wie viel Antisemitismus steckt in der Kritik an RB Leipzig?"
2021-05-12,"Hertha BSC gewinnt Nachholspiel gegen Schalke 04"
2021-05-11,"Manchester City wird zum siebten Mal englischer Meister"
2021-05-11,"1. FC Köln holt Steffen Baumgart als neuen Trainer"
2021-05-10,"37, 38, 39..."
2021-05-09,"Hertha und Bielefeld halten den Abstiegskampf spannend"
2021-05-08,"FC Bayern München ist Deutscher Meister"
2021-05-07,"Wer braucht da noch die Bundesliga?"
2021-05-06,"Hertha BSC gewinnt gegen Freiburg"
2021-05-06,"Aogo lässt Arbeit als Sky-Experte ruhen"
2021-05-06,"Wenn die Stadien versinken"
2021-05-05,"Dennis Aogo nimmt Entschuldigung von Jens Lehmann an"
2021-05-03,"Mainz und Hertha trennen sich in Nachholspiel unentschieden"
2021-05-03,"Letzte Hoffnung"
2021-04-29,"Jesse Marsch wird Nachfolger von Julian Nagelsmann in Leipzig"
2021-04-27,"Alte Fußballwelt trifft neue"
2021-04-27,"Rainer Koch fordert Gespräch mit DFB-Präsident über Nazivergleich"
2021-04-25,"Mönchengladbach deklassiert Bielefeld"
2021-04-26,"Das Bremer Flagellantentum geht weiter"
2021-04-24,"Die Einsamkeit des Fußballfans"
2021-04-23,"Vanuatuische Verhältnisse"
