"dates","title","ressort"
2021-11-27,"Sané erlöst die Bayern gegen Bielefeld","Sport"
2021-11-27,"Dortmund schlägt Wolfsburg – auch dank Rückkehrer Haaland","Sport"
2021-11-25,"Frankfurt punktet in der Nachspielzeit, Union hofft auf K.-o.-Runde","Sport"
2021-11-24,"City dreht Prestigeduell gegen PSG, Atlético droht Aus","Sport"
2021-11-24,"BVB verliert Schlüsselspiel bei Sporting und verpasst das Achtelfinale","Sport"
2021-11-23,"Wolfsburg muss um Achtelfinale bangen, Chelsea demontiert Juve","Sport"
2021-11-23,"Bayerns Rumpfteam holt Zittersieg im Schnee von Kiew","Sport"
2021-11-20,"Dortmund siegt spät und rückt bis auf einen Punkt an die Bayern heran","Sport"
2021-11-20,"Darmstadt klaut Überflieger St. Pauli die Tabellenführung","Sport"
2021-11-20,"Richtig sauer","Sport"
2021-11-19,"Augsburg schlägt den FC Bayern und macht die Liga wieder spannend","Sport"
2021-11-16,"Das nächste Trauma lauert schon","Sport"
2021-11-15,"Schweiz fährt nach Katar, Italien muss weiter zittern","Sport"
2021-11-15,"So qualifizieren sich Italien und die Niederlande doch noch für die WM","Sport"
2021-11-14,"Niederlande nur vier Minuten von Katar entfernt, jetzt droht der Totalschaden","Sport"
2021-11-13,"An ihr gibt es kein Vorbeikommen","Sport"
2021-11-13,"Europameister Italien muss um die direkte WM-Qualifikation bangen","Sport"
2021-11-11,"Warum der Fall Süle entscheidender ist als der Fall Kimmich","Sport"
2021-11-08,"Milan-Fans danken Ärztinnen und Pflegern in der Coronakrise","Sport"
2021-11-07,"Teroddes Krise ist Schalkes Krise, St. Pauli bleibt spielfrei Erster","Sport"
2021-11-06,"Bochum-Keeper Riemann verschießt Elfmeter, Bayern siegen im Topspiel gegen Freiburg","Sport"
2021-11-03,"Der Superstar und der Unfall, der alles verändert","Sport"
2021-11-02,"Der Trainer ist zurück, die Stärken und Schwächen bleiben","Sport"
2021-11-02,"Wolfsburgs U21-Europameister treffen zum Sieg gegen Salzburg","Sport"
2021-11-01,"Bayern-Trainer Nagelsmann kehrt voraussichtlich zurück","Sport"
2021-10-31,"Paderborns Michel erzielt Hattrick in acht Minuten und 27 Sekunden","Sport"
