"dates[-1]","title[-1][1:length(dates[-1])]"
2020-12-13,"""Ich lege viel Geld an, um später nicht Vollzeit arbeiten zu müssen"""
2020-12-10,"""Das Auto verschlingt ein Vermögen"""
2020-12-10,"""Parteien müssen deutlich machen, für welche Klimapolitik sie stehen"""
2020-12-09,"Und wenn sich doch was bewegt?"
2020-12-07,"Kommission empfiehlt, zuerst in Alten- und Pflegeheimen zu impfen"
2020-12-06,"""Ich möchte 800.000 Euro ansparen, bis ich 60 Jahre alt bin"""
2020-12-04,"Geht's auch ohne Auto?"
2020-11-24,"""Industrieländer stehen viel stärker in der Pflicht"""
2020-11-17,"Schulschließungen: Was dafür spricht und was dagegen"
2020-11-15,"Wut auf Rädern"
2020-11-10,"""Wenn ich mich nicht wehre, sieht es schlecht aus"""
2020-11-05,"Dem Stau entschweben"
2020-11-05,"""Wir müssen jetzt eine Zeit lang Verzicht üben"""
2020-11-03,"Schweigen ist Gold"
2020-11-01,"""Ich habe 60.000 Euro in Aktien angelegt"""
2020-10-27,"""Herdenimmunität anzustreben ist ethisch nicht vertretbar"""
2020-10-27,"Die alles entscheidende Zahl"
2020-10-26,"Ländertarifgemeinschaft beschließt Ausschluss Berlins"
2020-10-22,"Nur gemeinsam lässt sich das Virus stoppen"
2020-10-22,"Pflichtwidrig geschwiegen? "
2020-10-20,"Code für die Welt "
2020-10-19,"So kann man das Homeoffice von der Steuer absetzen"
2020-10-15,"""Wohnungen sollen in der breiten Masse keine Kapitalanlage sein"""
2020-10-11,"Ihre Währung sind Quadratmeter"
2020-10-10,"Angriff ohne Maske"
2020-10-09,"Warnstreiks schränken Verkehr in Berlin, Brandenburg und Bayern ein"
2020-10-08,"Warnstreiks schränken Nahverkehr in NRW und Baden-Württemberg ein"
2020-10-04,"""Bei uns sollen alle gleich viel verdienen, egal wie alt sie sind"""
2020-10-18,"Mehr Platz für Frauen"
2020-09-29,"Busse und Bahnen stehen bundesweit still"
2020-09-26,"Corona-Regeln in den Bundesländern"
2020-09-25,"Ver.di ruft zu Warnstreiks im Nahverkehr auf"
2020-09-24,"Maskenpflicht auf öffentlichen Plätzen ist umstritten"
2020-09-23,"Ver.di will Warnstreiks im öffentlichen Dienst ausweiten"
2020-09-14,"Eine Gebühr gegen den Stau"
2020-10-10,"Komm mir nicht mit 'nem E-Auto!"
2020-09-07,"Corona rechtfertigt keine Radwege"
2020-09-05,"Kind abholen ist auch ein wichtiger Termin"
2020-08-28,"Reisen, wenn andere schlafen"
2020-08-14,"""Wir wollen den Verzicht aufs Auto attraktiver machen"""
2020-08-13,"""Wir können nicht sicherstellen, dass alle eine Maske tragen"""
2020-08-09,"""Soll ich meinen Sohn in die Schule schicken?"" – Zweifel einer Mutter"
2020-07-27,"Rad voran!"
2020-07-26,"Zurück in die Klapperkiste"
2020-07-22,"Dem Stau entschweben"
2020-07-10,"""Es geht nicht um Autofahrer gegen Radfahrer"""
2020-07-06,"Gesundheitsminister einigen sich auf Beibehaltung der Maskenpflicht"
2020-06-26,"CleverShuttle stellt Fahrdienst in mehreren Städten ein"
2020-06-21,"Der unangenehme Rest"
2020-06-20,"Elektroauto? Nicht mit mir"
2020-06-04,"""Manchmal braucht es Mut zu unpopulären Entscheidungen"""
2020-06-04,"Ökonomen loben Milliardenpaket der Bundesregierung"
2020-06-04,"Koalition einigt sich auf Konjunkturpaket"
2020-05-31,"SPD fordert Milliarden für öffentlichen Nahverkehr"
2020-05-30,"28 Milliarden Euro für 5G, Bahn und Nahverkehr"
2020-05-25,"""Maßnahmen müssen Beschäftigung, Innovation und Klimaschutz dienen"""
2020-05-22,"Finanzminister plant Familienbonus über 300 Euro pro Kind"
2020-05-16,"""Jetzt noch Bus und Bahn zu meiden, ist unnötig"""
2020-05-05,"Sauber, aber zu teuer"
2020-04-28,"Maskenpflicht in Läden gilt bundesweit"
2020-04-27,"Der Nahverkehr hat Hilfe nötig"
2020-04-27,"Die wichtigsten Nachrichten vom Montag"
2020-04-21,"Die wichtigsten Corona-Nachrichten vom Dienstag"
2020-04-20,"Bayern führt Maskenpflicht in Geschäften und Nahverkehr ein"
2020-04-19,"""Sie schicken das Fahrrad weg und rufen sich später wieder eins"""
