"dates","title"
2021-09-01," Erste Niederlage für Wolfsburg"
2021-09-01," Tuchel und Chelsea verlieren Spitzenspiel"
2021-09-01," Gleich der große Favorit"
2021-09-01," Mitreißende ""Lilien"""
2021-09-01," Werner trifft bei Chelsea-Sieg im Elfmeterschießen"
2021-09-01," Der FC Bayern und die Bundesliga-Dominanz"
2021-09-01," Überraschende Niederlage für Patrick Mahomes"
2021-09-01," Die Dauerprobleme des BVB"
2021-09-01," PSG und Real Madrid siegen kurz vor Schluss"
2021-09-01," Chelsea gewinnt 3:0 bei Tottenham Hotspur"
2021-09-01," Darmstadt mit ""verdientem Sieg"" gegen Dynamo"
2021-09-01," Habe mich ""zu so einem Blödsinn hinreißen lassen"""
2021-09-01," Wirklich nur der letzte Pass?"
2021-09-01," Neuanfang mit großen Nöten"
2021-09-01," Leverkusen gewinnt trotz einstündiger Unterzahl"
2021-09-01," Kieler Party mit Gästen"
2021-09-01," Paderborn setzt sich an die Spitze, Aue entlässt Trainer"
2021-09-01," Es fehlen die Ideen"
2021-09-01," Uninspirierte Auftritte"
2021-09-01," ""In der Infrastruktur weit unter manchem Zweitligisten"""
2021-09-01," ""Wir wollen aufsteigen"""
2021-09-01," Heute startet der Strafprozess um den VW-Abgasskandal"
2021-09-01," So teuer werden Champions League und Co."
2021-09-01," Vorsicht beim FC Bayern, ""heftige Reibereien"" bei Barca"
2021-09-01," Die Eintracht hat sich verdribbelt"
2021-09-01," Vorerst nicht mehr auf Augenhöhe mit Bayern"
2021-09-01," Erster Dämpfer am zweiten Spieltag"
2021-09-01," Mainz gewinnt zerfahrenes Spiel"
